Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1979-02-14,Price_HO20_IOB,Heating Oil,1.4787,1.4987,1.4787,1.4987,0
1979-02-15,Price_HO20_IOB,Heating Oil,1.5074,1.5112,1.5074,1.5112,29
1979-02-16,Price_HO20_IOB,Heating Oil,1.5212,1.5212,1.5162,1.5162,4
1979-02-20,Price_HO20_IOB,Heating Oil,1.5262,1.5262,1.5262,1.5262,2
1979-02-21,Price_HO20_IOB,Heating Oil,1.5412,1.5412,1.5412,1.5412,162
1979-02-22,Price_HO20_IOB,Heating Oil,1.5537,1.5612,1.5537,1.5612,45
1979-02-23,Price_HO20_IOB,Heating Oil,1.5712,1.5812,1.5687,1.5687,22
1979-02-26,Price_HO20_IOB,Heating Oil,1.5887,1.5887,1.5607,1.5607,11
1979-02-27,Price_HO20_IOB,Heating Oil,1.5507,1.5507,1.5507,1.5507,39
1979-02-28,Price_HO20_IOB,Heating Oil,1.5457,1.5547,1.5457,1.5537,116
1979-03-01,Price_HO20_IOB,Heating Oil,1.5537,1.5537,1.5537,1.5537,0
1979-03-02,Price_HO20_IOB,Heating Oil,1.5507,1.5507,1.5437,1.5437,1
1979-03-05,Price_HO20_IOB,Heating Oil,1.5337,1.5337,1.5337,1.5337,0
1979-03-06,Price_HO20_IOB,Heating Oil,1.5297,1.5297,1.5187,1.5187,7
1979-03-07,Price_HO20_IOB,Heating Oil,1.4987,1.4987,1.4987,1.4987,2
1979-03-08,Price_HO20_IOB,Heating Oil,1.4787,1.4837,1.4787,1.4787,9
1979-03-09,Price_HO20_IOB,Heating Oil,1.4692,1.4737,1.4587,1.4587,10
1979-03-12,Price_HO20_IOB,Heating Oil,1.4687,1.4687,1.4687,1.4687,0
1979-03-13,Price_HO20_IOB,Heating Oil,1.4787,1.4787,1.4787,1.4787,1
1979-03-14,Price_HO20_IOB,Heating Oil,1.4887,1.4887,1.4887,1.4887,1
1979-03-15,Price_HO20_IOB,Heating Oil,1.5037,1.5037,1.4987,1.4987,7
1979-03-16,Price_HO20_IOB,Heating Oil,1.4927,1.5087,1.4927,1.5087,6
